agent_id,x,y,coverage_pheromone,size
pipuck15,-4.64844,2.25781,0.795625,0.265625
pipuck15,-4.64844,2.52344,0.786875,0.265625
pipuck15,-4.64844,2.78906,0.78375,0.265625
pipuck15,-4.64844,3.05469,0.780625,0.265625
pipuck15,-4.64844,3.32031,0.774375,0.265625
pipuck15,-4.64844,3.58594,0.77125,0.265625
pipuck15,-4.64844,3.85156,0.765625,0.265625
pipuck15,-4.64844,4.11719,0.75875,0.265625
pipuck15,-4.64844,4.38281,0.758125,0.265625
pipuck15,-4.64844,4.64844,0.749375,0.265625
pipuck15,-4.64844,4.91406,0.7475,0.265625
pipuck15,-4.64844,5.17969,0.7475,0.265625
pipuck15,-4.64844,5.44531,0.74375,0.265625
pipuck15,-4.64844,5.71094,0.7425,0.265625
pipuck15,-4.64844,6.77344,0.7125,0.265625
pipuck15,-4.64844,7.03906,0.711875,0.265625
pipuck15,-4.64844,7.30469,0.71125,0.265625
pipuck15,-4.64844,7.57031,0.661875,0.265625
pipuck15,-4.64844,7.83594,0.66125,0.265625
pipuck15,-4.64844,8.10156,0.660625,0.265625
pipuck15,-4.38281,-6.77344,-1,0.265625
pipuck15,-4.38281,-6.50781,-1,0.265625
pipuck15,-4.38281,-6.24219,0.094375,0.265625
pipuck15,-4.38281,-5.97656,0.114375,0.265625
pipuck15,-4.38281,-5.71094,0.118125,0.265625
pipuck15,-4.38281,-5.44531,0.12125,0.265625
pipuck15,-4.38281,-5.17969,0.125,0.265625
pipuck15,-4.38281,-4.91406,0.10625,0.265625
pipuck15,-4.38281,-4.64844,0.108125,0.265625
pipuck15,-4.38281,-4.38281,0.109375,0.265625
pipuck15,-4.38281,-4.11719,0.110625,0.265625
pipuck15,-4.38281,-3.85156,0.18875,0.265625
pipuck15,-4.38281,-3.58594,0.19,0.265625
pipuck15,-4.38281,-3.32031,0.191875,0.265625
pipuck15,-4.38281,-3.05469,0.220625,0.265625
pipuck15,-4.38281,-2.78906,0.22375,0.265625
pipuck15,-4.38281,-2.52344,0.226875,0.265625
pipuck15,-4.38281,-2.25781,0.23625,0.265625
pipuck15,-4.38281,-1.99219,0.2425,0.265625
pipuck15,-4.38281,-1.72656,0.245625,0.265625
pipuck15,-4.38281,-1.46094,0.250625,0.265625
pipuck15,-4.38281,-1.19531,0.25875,0.265625
pipuck15,-4.38281,-0.929688,0.259375,0.265625
pipuck15,-4.38281,-0.664062,0.259375,0.265625
pipuck15,-4.38281,-0.398438,0.2675,0.265625
pipuck15,-4.38281,-0.132812,0.268125,0.265625
pipuck15,-4.38281,0.132812,0.29625,0.265625
pipuck15,-4.38281,0.398438,0.305625,0.265625
pipuck15,-4.38281,0.664062,0.311875,0.265625
pipuck15,-4.38281,0.929688,0.315,0.265625
pipuck15,-4.38281,1.19531,0.81,0.265625
pipuck15,-4.38281,1.46094,0.813125,0.265625
pipuck15,-4.38281,1.72656,0.804375,0.265625
pipuck15,-4.38281,1.99219,0.799375,0.265625
pipuck15,-4.38281,2.25781,0.798125,0.265625
pipuck15,-4.38281,2.52344,0.7875,0.265625
pipuck15,-4.38281,2.78906,0.786875,0.265625
pipuck15,-4.38281,3.05469,0.78375,0.265625
pipuck15,-4.38281,3.32031,0.775,0.265625
pipuck15,-4.38281,3.58594,0.774375,0.265625
pipuck15,-4.38281,3.85156,0.765625,0.265625
pipuck15,-4.38281,4.11719,0.760625,0.265625
pipuck15,-4.38281,4.38281,0.758125,0.265625
pipuck15,-4.38281,4.64844,0.75125,0.265625
pipuck15,-4.38281,4.91406,0.7475,0.265625
pipuck15,-4.38281,5.17969,0.746875,0.265625
pipuck15,-4.38281,5.44531,0.743125,0.265625
pipuck15,-4.38281,5.71094,0.7425,0.265625
pipuck15,-4.38281,6.50781,0.740625,0.265625
pipuck15,-4.38281,6.77344,0.711875,0.265625
pipuck15,-4.38281,7.03906,0.71125,0.265625
pipuck15,-4.38281,7.30469,0.710625,0.265625
pipuck15,-4.38281,7.57031,0.661875,0.265625
pipuck15,-4.38281,7.83594,0.660625,0.265625
pipuck15,-4.38281,8.10156,0.66,0.265625
pipuck15,-4.11719,-7.57031,-1,0.265625
pipuck15,-4.11719,-6.77344,-1,0.265625
pipuck15,-4.11719,-6.50781,0.076875,0.265625
pipuck15,-4.11719,-6.24219,0.091875,0.265625
pipuck15,-4.11719,-5.97656,0.115625,0.265625
pipuck15,-4.11719,-5.71094,0.118125,0.265625
pipuck15,-4.11719,-5.44531,0.1225,0.265625
pipuck15,-4.11719,-5.17969,0.128125,0.265625
pipuck15,-4.11719,-4.91406,0.12625,0.265625
pipuck15,-4.11719,-4.64844,0.106875,0.265625
pipuck15,-4.11719,-4.38281,0.109375,0.265625
pipuck15,-4.11719,-4.11719,0.11125,0.265625
pipuck15,-4.11719,-3.85156,0.18625,0.265625
pipuck15,-4.11719,-3.58594,0.18875,0.265625
pipuck15,-4.11719,-3.32031,0.216875,0.265625
pipuck15,-4.11719,-3.05469,0.22,0.265625
pipuck15,-4.11719,-2.78906,0.2275,0.265625
pipuck15,-4.11719,-2.52344,0.229375,0.265625
pipuck15,-4.11719,-2.25781,0.2325,0.265625
pipuck15,-4.11719,-1.99219,0.24,0.265625
pipuck15,-4.11719,-1.72656,0.244375,0.265625
pipuck15,-4.11719,-1.46094,0.251875,0.265625
pipuck15,-4.11719,-1.19531,0.26125,0.265625
pipuck15,-4.11719,-0.929688,0.266875,0.265625
pipuck15,-4.11719,-0.664062,0.266875,0.265625
pipuck15,-4.11719,-0.398438,0.266875,0.265625
pipuck15,-4.11719,-0.132812,0.266875,0.265625
pipuck15,-4.11719,0.132812,0.26625,0.265625
