agent_id,x,y,obstacle_pheromone,size
pipuck15,1.19531,6.50781,0.71,0.265625
pipuck15,1.19531,8.89844,-1,0.265625
pipuck15,1.19531,9.16406,-1,0.265625
pipuck15,1.19531,9.42969,-1,0.265625
pipuck15,1.19531,11.5547,-1,0.265625
pipuck15,1.19531,11.8203,-1,0.265625
pipuck15,1.19531,12.0859,-1,0.265625
pipuck15,1.46094,-15.2734,0.4625,0.265625
pipuck15,1.46094,-15.0078,0.624375,0.265625
pipuck15,1.46094,-14.7422,0.645,0.265625
pipuck15,1.46094,-14.4766,0.665625,0.265625
pipuck15,1.46094,-14.2109,0.450625,0.265625
pipuck15,1.46094,-13.9453,0.198125,0.265625
pipuck15,1.46094,-13.6797,-1,0.265625
pipuck15,1.46094,-13.4141,-1,0.265625
pipuck15,1.46094,-13.1484,-1,0.265625
pipuck15,1.46094,-12.6172,0.64625,0.265625
pipuck15,1.46094,-12.3516,0.651875,0.265625
pipuck15,1.46094,-12.0859,0.644375,0.265625
pipuck15,1.46094,-11.8203,0.64375,0.265625
pipuck15,1.46094,-11.5547,0.565625,0.265625
pipuck15,1.46094,-11.2891,0.180625,0.265625
pipuck15,1.46094,-11.0234,0.565,0.265625
pipuck15,1.46094,-10.7578,-1,0.265625
pipuck15,1.46094,-10.4922,-1,0.265625
pipuck15,1.46094,-3.58594,-1,0.265625
pipuck15,1.46094,-3.32031,-1,0.265625
pipuck15,1.46094,-0.929688,0.946875,0.265625
pipuck15,1.46094,-0.664062,0.9475,0.265625
pipuck15,1.46094,-0.398438,0.945,0.265625
pipuck15,1.46094,-0.132812,0.938125,0.265625
pipuck15,1.46094,0.132812,0.9375,0.265625
pipuck15,1.46094,0.398438,0.9325,0.265625
pipuck15,1.46094,0.664062,0.92625,0.265625
pipuck15,1.46094,0.929688,-1,0.265625
pipuck15,1.46094,4.11719,-1,0.265625
pipuck15,1.46094,6.77344,-1,0.265625
pipuck15,1.46094,9.16406,-1,0.265625
pipuck15,1.46094,9.42969,-1,0.265625
pipuck15,1.46094,11.5547,-1,0.265625
pipuck15,1.46094,11.8203,-1,0.265625
pipuck15,1.46094,12.0859,-1,0.265625
pipuck15,1.72656,-15.2734,0.46375,0.265625
pipuck15,1.72656,-15.0078,0.4825,0.265625
pipuck15,1.72656,-14.7422,0.481875,0.265625
pipuck15,1.72656,-14.4766,0.190625,0.265625
pipuck15,1.72656,-14.2109,-1,0.265625
pipuck15,1.72656,-13.6797,-1,0.265625
pipuck15,1.72656,-13.4141,-1,0.265625
pipuck15,1.72656,-13.1484,-1,0.265625
pipuck15,1.72656,-12.8828,-1,0.265625
pipuck15,1.72656,-12.6172,0.655,0.265625
pipuck15,1.72656,-12.3516,0.65375,0.265625
pipuck15,1.72656,-12.0859,0.646875,0.265625
pipuck15,1.72656,-11.8203,0.411875,0.265625
pipuck15,1.72656,-11.5547,0.49125,0.265625
pipuck15,1.72656,-11.2891,0.483125,0.265625
pipuck15,1.72656,-11.0234,0.07125,0.265625
pipuck15,1.72656,-10.7578,0.040625,0.265625
pipuck15,1.72656,-10.4922,-1,0.265625
pipuck15,1.72656,-10.2266,-1,0.265625
pipuck15,1.72656,-8.10156,-1,0.265625
pipuck15,1.72656,-7.83594,-1,0.265625
pipuck15,1.72656,-7.57031,-1,0.265625
pipuck15,1.72656,-3.58594,-1,0.265625
pipuck15,1.72656,-3.32031,-1,0.265625
pipuck15,1.72656,-0.664062,0.85125,0.265625
pipuck15,1.72656,-0.398438,0.93875,0.265625
pipuck15,1.72656,-0.132812,-1,0.265625
pipuck15,1.72656,0.132812,0.935,0.265625
pipuck15,1.72656,0.398438,0.93375,0.265625
pipuck15,1.72656,9.16406,-1,0.265625
pipuck15,1.72656,9.42969,-1,0.265625
pipuck15,1.72656,9.69531,-1,0.265625
pipuck15,1.72656,11.5547,-1,0.265625
pipuck15,1.72656,11.8203,-1,0.265625
pipuck15,1.99219,-15.2734,-1,0.265625
pipuck15,1.99219,-15.0078,0.48625,0.265625
pipuck15,1.99219,-14.7422,0.44375,0.265625
pipuck15,1.99219,-14.4766,-1,0.265625
pipuck15,1.99219,-13.6797,-1,0.265625
pipuck15,1.99219,-13.4141,-1,0.265625
pipuck15,1.99219,-13.1484,-1,0.265625
pipuck15,1.99219,-12.8828,-1,0.265625
pipuck15,1.99219,-12.6172,0.663125,0.265625
pipuck15,1.99219,-12.3516,0.66375,0.265625
pipuck15,1.99219,-12.0859,0.08875,0.265625
pipuck15,1.99219,-11.8203,0.120625,0.265625
pipuck15,1.99219,-11.5547,0.0375,0.265625
pipuck15,1.99219,-11.2891,-1,0.265625
pipuck15,1.99219,-11.0234,0.08,0.265625
pipuck15,1.99219,-10.7578,0.125,0.265625
pipuck15,1.99219,-10.4922,0.019375,0.265625
pipuck15,1.99219,-10.2266,-1,0.265625
pipuck15,1.99219,-8.10156,-1,0.265625
pipuck15,1.99219,-7.83594,-1,0.265625
pipuck15,1.99219,-3.58594,-1,0.265625
pipuck15,1.99219,-3.32031,-1,0.265625
pipuck15,1.99219,-3.05469,-1,0.265625
pipuck15,1.99219,9.42969,-1,0.265625
pipuck15,1.99219,9.69531,-1,0.265625
pipuck15,1.99219,11.2891,-1,0.265625
pipuck15,1.99219,11.5547,-1,0.265625
